"","gene","Th1","Th2","Th1_17","Th17","NKT","naive.stim","Treg.mem","Treg.naive","naive"
"158","LYST",3,1,6,7,4,3,4,6,3
"159","MAP3K8",5,5,2,4,6,2,3,3,0
"160","MCTP2",4,2,6,4,2,5,3,3,0
"161","MEGF9",6,5,3,3,6,0,1,1,0
"162","P2RX5",6,9,2,4,5,5,5,4,4
"163","PCED1B",7,6,6,3,5,0,4,4,0
"164","PIK3CD",4,4,2,7,4,3,3,1,0
"165","PLEKHA5",4,0,4,4,2,0,2,1,0
"166","PLIN2",6,5,5,3,7,5,11,4,3
"167","PUM1",1,6,2,2,3,3,2,0,0
"168","RASA3",4,0,4,2,3,0,1,3,0
"169","RERE",7,5,2,2,4,6,6,6,0
"170","RPL37",2,3,3,6,7,3,3,4,0
"171","RPS18",5,3,3,6,5,3,2,6,0
"172","SLC22A23",3,5,0,1,1,0,1,3,0
"173","SRSF7",4,10,4,4,9,3,5,2,0
"174","TMEM173",4,5,3,6,3,3,5,2,0
"175","TSPAN5",5,6,5,1,5,5,5,4,0
"176","UBASH3B",4,0,5,2,3,0,3,0,0
"177","USP12",7,7,5,6,6,4,8,4,0
"178","VAV3",4,3,3,3,2,0,3,4,0
"179","VMP1",5,7,4,4,5,5,4,3,0
"180","ABI1",5,9,2,4,2,5,6,3,0
"181","ARAP2",5,4,6,3,6,5,4,6,0
"182","DICER1",3,2,1,2,0,0,3,0,0
"183","EFCAB11",3,2,1,0,2,0,1,0,0
"184","FNBP1",5,3,3,7,4,3,2,6,0
"185","HDAC8",4,4,3,1,2,4,5,3,0
"186","HSPA1A",1,6,7,5,5,6,1,2,0
"187","LINC00598",5,4,4,2,0,0,5,1,0
"188","MYO5A",4,6,4,6,2,0,3,1,0
"189","NEAT1",8,5,4,6,6,2,2,2,2
"190","PHEX",1,1,0,1,0,0,2,3,0
"191","RAD51B",8,5,1,6,4,5,5,4,0
"192","RALGAPA1",3,4,3,8,1,0,3,1,0
"193","RRAS2",6,4,3,2,8,0,2,2,0
"194","SRSF2",5,7,4,4,2,3,6,1,0
"195","TCEA1",3,2,0,4,3,0,3,1,0
"196","TNFRSF10D",2,2,0,1,0,0,1,1,0
"197","AHI1",8,3,3,3,5,4,4,6,0
"198","ATP1B1",3,2,2,2,0,0,3,2,0
"199","ATP8A1",5,9,8,4,2,3,3,2,0
"200","CD247",4,5,5,6,7,4,5,2,0
"201","CDK14",2,2,2,0,0,5,3,5,1
"202","CPEB3",3,7,3,2,0,0,4,0,0
"203","EIF1",7,3,6,7,5,5,4,4,0
"204","FGGY",3,4,3,3,4,0,2,6,0
"205","FILIP1L",3,1,5,4,2,0,3,1,0
"206","HAVCR2",3,2,4,5,4,5,7,3,1
"207","IARS",2,1,5,4,3,1,3,2,0
"208","IGF1R",6,5,4,2,4,0,1,2,0
"209","IL12RB2",5,1,4,3,6,2,3,2,1
"210","KCNQ5",4,2,1,1,2,7,3,0,0
"211","MARS",3,4,1,3,4,4,3,3,0
"212","MDFIC",2,6,3,1,3,4,4,5,0
"213","PDE7A",5,4,4,9,7,2,5,4,0
"214","PGGHG",2,3,1,2,4,3,3,3,0
"215","PLCL2",5,6,6,7,5,0,8,7,0
"216","PLPP1",6,4,2,4,4,3,6,3,0
"217","PRKCH",7,5,5,6,5,0,7,3,0
"218","RPLP0",5,3,4,3,6,5,3,4,1
"219","SCMH1",3,2,1,2,2,0,7,1,0
"220","SFMBT2",3,5,7,5,5,0,5,4,0
"221","SIRPG",4,4,4,4,1,4,4,3,3
"222","SKA2",4,4,2,3,1,2,2,1,2
"223","SLC2A13",3,4,1,1,2,0,1,1,0
"224","SP140L",5,4,5,3,5,3,5,3,0
"225","STARD9",2,5,3,2,2,0,4,5,0
"226","TBL1X",5,4,6,1,5,3,4,3,0
"227","TUBA1B",5,3,3,4,3,1,2,2,2
"228","VIPR2",4,3,1,0,0,4,2,6,1
"229","VPS54",6,2,5,8,5,5,5,7,0
"230","CAMK2D",8,6,7,9,5,0,8,5,0
"231","CCL4",3,0,0,0,6,0,0,0,0
"232","CDKN2D",3,4,4,2,0,2,3,2,1
"233","CFLAR",3,4,2,6,6,9,5,2,0
"234","CRADD",7,3,1,3,1,3,7,0,0
"235","DOCK10",4,6,6,4,5,6,6,5,0
"236","EZH2",4,4,2,3,3,1,1,1,0
"237","GEM",3,3,2,5,1,2,2,0,0
"238","GLT1D1",1,2,1,0,1,4,1,4,0
"239","GZMB",5,3,4,2,1,1,6,2,0
"240","HMGCR",5,5,5,8,3,4,5,2,0
"241","HSP90AB1",3,2,2,4,4,3,6,2,0
"242","HSPA5",1,3,4,1,4,6,3,3,0
"243","HSPH1",3,2,1,3,1,3,4,0,0
"244","IFNG",7,0,2,0,5,3,3,0,0
"245","KDM7A",3,3,5,5,3,2,5,1,0
"246","KYAT1",2,4,4,5,3,0,2,2,0
"247","LCLAT1",5,2,1,2,0,0,3,5,0
"248","NAPSA",4,7,4,4,0,0,3,1,2
"249","NKG7",6,0,2,1,2,3,4,1,0
"250","PACS1",5,3,8,5,5,5,4,3,0
"251","PAM",8,3,4,5,3,5,5,5,0
"252","PDLIM5",3,1,0,1,0,0,1,0,0
"253","PER1",7,7,6,5,8,2,7,4,0
"254","PPP3CA",2,3,7,2,6,0,5,2,0
"255","PRMT9",6,4,6,6,3,3,5,4,0
"256","RAPGEF2",6,4,2,5,3,5,1,2,0
"257","RNF19A",5,7,4,4,5,3,3,0,0
"258","RPL6",2,7,2,3,6,3,1,3,0
"259","RPP30",5,4,2,2,4,4,4,1,0
"260","RPS24",3,2,3,4,0,3,2,3,0
"261","SERPINB9",8,4,3,6,3,6,5,5,0
"262","SLC3A2",6,4,1,1,3,3,3,1,0
"263","SNHG15",5,5,5,5,3,2,2,5,0
"264","SNX9",4,6,6,5,6,4,4,6,0
"265","TOP2A",3,2,4,4,3,3,2,5,2
"266","TYMP",6,4,2,6,5,5,6,6,0
"267","VAMP2",5,6,3,7,5,2,7,6,0
"268","KPNA2",2,6,1,3,3,3,4,0,0
"269","PTTG1",5,1,3,1,4,0,6,5,0
"270","STIL",4,4,3,4,1,1,3,1,0
"271","ABCB1",4,1,3,2,4,0,1,1,0
"272","ACYP2",6,3,3,3,3,0,4,4,0
"273","ADAM19",4,3,5,3,5,4,2,1,0
"274","ATG7",1,6,2,4,4,0,4,1,0
"275","ATXN7L1",3,5,5,3,2,0,1,4,0
"276","BICDL1",5,4,6,4,5,5,4,2,0
"277","CABLES1",2,2,0,1,0,0,2,3,0
"278","CTLA4",6,1,3,3,5,0,2,2,0
"279","CTNNA1",2,3,4,3,0,0,4,4,0
"280","DPY19L1",3,3,4,2,3,0,2,1,0
"281","EDA",2,0,0,0,0,0,0,0,0
"282","ELL2",7,6,4,6,4,7,4,0,0
"283","ENTPD1",2,4,4,5,3,0,3,4,0
"284","FNDC3B",3,7,3,3,3,3,4,2,0
"285","HBS1L",4,5,6,7,8,3,5,8,0
"286","HSPA9",5,3,2,5,3,3,4,3,0
"287","IFRD1",8,6,5,5,8,5,7,1,0
"288","IL1RN",1,0,0,0,0,0,0,0,0
"289","KIF3A",6,6,3,2,3,0,6,5,0
"290","MAML2",7,6,2,5,5,3,5,5,0
"291","MTUS1",1,0,1,1,0,0,2,1,0
